,genre,type,episodes,rating_anime,members,rating_user,Mature,SliceOfLife,Fiction,Action,Shonen,Others,Sexual,Josei
31,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,7.317106336687517,1.0,,,1.0,1.0,,,
32,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,7.154172560113154,1.0,1.0,1.0,,1.0,1.0,,
33,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,7.101689708141321,1.0,1.0,1.0,,,,,
34,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,7.244466334453587,1.0,1.0,1.0,,1.0,,,
35,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,7.439279488669378,1.0,,1.0,1.0,,,,
36,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,6.394736842105263,1.0,,1.0,1.0,,1.0,,
37,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,7.809098824553765,1.0,,,,,1.0,,
38,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,7.396662645757941,1.0,1.0,,,1.0,,,
39,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,7.556176919166243,1.0,,1.0,,,1.0,,
40,"Comedy, Parody",OVA,2,8.69,16947,6.2,,,,,1.0,,,
41,"Action, Comedy, School, Shounen",TV,25,8.68,176475,6.907629148135477,,1.0,,1.0,1.0,,,
42,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,7.0834577283213465,1.0,1.0,,1.0,1.0,,,
43,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,7.2234382124943,1.0,,,1.0,1.0,,,
44,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,7.180527788884446,1.0,1.0,1.0,1.0,,1.0,,
45,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,6.957701516360734,1.0,1.0,1.0,,,,,
46,"Psychological, Seinen, Sports",TV,11,8.67,97187,7.6467040068935805,1.0,,,1.0,,,,
47,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,7.100383982446517,1.0,1.0,1.0,,1.0,1.0,,
48,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,7.4827886710239655,1.0,,1.0,,,1.0,,
49,"Mystery, Psychological, Romance",TV,11,8.65,122531,7.518412242945959,1.0,1.0,,,,1.0,,
50,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,7.148430066603235,,1.0,1.0,,1.0,,,
51,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,6.2782369146005506,,1.0,1.0,,1.0,,,
52,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,7.713305001634521,1.0,,,,,,,
53,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,7.3285970929283035,1.0,,1.0,,,,,
54,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,6.8001978239366965,,,1.0,1.0,1.0,,,
55,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,7.0625947585011914,1.0,1.0,1.0,,,,,
56,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,7.452303889836991,1.0,1.0,1.0,,,,,
57,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,7.038759689922481,,1.0,,1.0,1.0,,,
58,"Sci-Fi, Thriller",Movie,1,8.61,192424,7.275311107697035,1.0,,1.0,,,,,
59,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,7.269485188380788,1.0,1.0,1.0,,,,,
60,"Ecchi, School, Shounen",TV,24,8.61,348951,7.119023779724656,,1.0,,,1.0,,1.0,
61,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,6.160642570281125,1.0,,1.0,1.0,1.0,1.0,,
62,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,7.107585703865792,1.0,,1.0,1.0,1.0,,,
63,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,6.8976851851851855,1.0,,1.0,1.0,1.0,1.0,,
64,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,7.315557925609919,1.0,,1.0,1.0,,1.0,,
65,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,7.316499481148392,1.0,,1.0,1.0,,,,
66,"Drama, Historical, Josei",TV,13,8.59,71295,7.425242718446602,1.0,,,,,,,1.0
67,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,7.7075471698113205,1.0,1.0,1.0,,1.0,,,
68,"Adventure, Supernatural",Movie,1,8.58,80825,7.396468699839486,,,1.0,,1.0,,,
69,"Drama, Historical",Movie,1,8.58,174878,7.278787878787878,1.0,,,,,,,
70,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,7.042501517911354,,1.0,,1.0,1.0,,,
71,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,6.989010989010989,1.0,1.0,,1.0,1.0,,,
72,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,7.0736167181192116,1.0,,1.0,1.0,,1.0,,
73,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,7.100738271016909,1.0,1.0,1.0,1.0,,1.0,,
74,"Action, Historical, Military, Seinen",TV,39,8.57,31234,7.065121412803532,1.0,,,1.0,,1.0,,
75,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,7.102176318701586,1.0,1.0,,1.0,1.0,,,
76,"Josei, Slice of Life",TV,11,8.56,194855,7.35038804254096,,1.0,,,,,,1.0
77,"Military, School",Movie,1,8.55,25641,7.363273453093813,,1.0,,,,1.0,,
78,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,7.060554612337294,,1.0,1.0,1.0,1.0,,,
79,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,7.247524752475248,1.0,1.0,,,1.0,,,
80,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,7.473803071364047,1.0,,1.0,1.0,1.0,1.0,,
81,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,6.969269102990033,1.0,1.0,1.0,,1.0,1.0,,
82,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,7.314088696592753,1.0,,1.0,1.0,1.0,,,
83,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,7.227125243348475,1.0,1.0,,,1.0,,,
84,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,7.558199356913184,1.0,1.0,,1.0,1.0,,,
85,"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,6.589690721649484,,1.0,,,,,,1.0
86,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,7.020747406574178,,,1.0,1.0,,,,
87,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,7.448165869218501,1.0,,1.0,,,1.0,,
88,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,7.609756097560975,1.0,,1.0,1.0,,1.0,,
89,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,7.210766721044045,1.0,1.0,,1.0,,1.0,,1.0
90,"Action, Fantasy, Supernatural",TV,13,8.51,453630,7.250492125984252,,,1.0,1.0,,,,
91,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,7.219912035185926,1.0,,1.0,1.0,1.0,,,
92,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,7.218859414871521,1.0,,1.0,,,,,
93,"Comedy, School, Slice of Life",TV,26,8.52,254436,7.20343347639485,,1.0,,,1.0,,,
94,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,7.241362078812108,1.0,,1.0,1.0,,1.0,,
95,"Comedy, Slice of Life",TV,12,8.5,225927,7.140161725067386,,1.0,,,1.0,,,
96,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,6.996543778801843,,1.0,,1.0,1.0,,,
97,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,6.864129688143976,,,1.0,1.0,1.0,,,
98,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,6.965810055865922,1.0,,1.0,,,,,
99,"Comedy, Drama, Sports",OVA,2,8.5,13405,6.7526132404181185,1.0,,,1.0,1.0,,,
100,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,7.236849587716804,1.0,,,1.0,1.0,1.0,,
101,"Ecchi, School, Shounen",TV,13,8.5,185015,6.885131358300726,,1.0,,,1.0,,1.0,
102,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,7.354147075418469,1.0,1.0,,1.0,1.0,,,
103,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,6.4990046449900465,1.0,,1.0,,,,,
104,"Comedy, Drama, Sports",TV,25,8.49,24788,6.898865784499055,1.0,,,1.0,1.0,,,
105,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,7.244044467972472,1.0,,1.0,,,1.0,,
106,"Comedy, Drama",TV,24,8.49,146895,7.3180124223602485,1.0,,,,1.0,,,
107,"Drama, Sports",TV,47,8.48,6259,7.495412844036697,1.0,,,1.0,,,,
108,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,6.85211517952364,,,,1.0,1.0,,,
109,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,6.839839691257236,,,1.0,1.0,1.0,,,
110,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,7.379741470650561,1.0,1.0,,,1.0,,,1.0
111,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,6.863037339190461,,,1.0,,1.0,,,
112,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,7.024490440827935,1.0,,1.0,1.0,,1.0,,
113,"Adventure, Fantasy",Movie,1,8.47,143273,6.925587283724856,,,1.0,,1.0,,,
114,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,7.169780399868896,,,1.0,,1.0,1.0,1.0,
115,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,6.662269129287599,1.0,1.0,,,1.0,,,
116,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,6.954316972205795,,1.0,1.0,1.0,1.0,,,
117,"Action, Adventure, Slice of Life",TV,13,8.46,102822,7.317647058823529,,1.0,,1.0,1.0,,,
118,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,7.024822079500087,,1.0,,1.0,1.0,,,
119,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,7.232225728605903,1.0,1.0,,,1.0,,,1.0
120,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,7.0964025393839645,1.0,1.0,1.0,,1.0,,,
121,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,6.553871364195002,,1.0,1.0,1.0,,,,
122,"Sci-Fi, Thriller",Special,1,8.46,159548,6.985378940308518,1.0,,1.0,,,,,
123,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,7.1731236829307825,,,1.0,1.0,1.0,,,
124,"Drama, Fantasy",TV,50,8.45,36751,7.537162162162162,1.0,,1.0,,,,,
125,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,6.700924974306269,1.0,,1.0,,,1.0,,
126,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,6.771439696291249,1.0,,1.0,,,,,
127,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,7.234938022484866,,1.0,,,1.0,,,
128,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,7.187083429096759,1.0,1.0,1.0,,1.0,,,
129,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,6.661365142478463,1.0,1.0,1.0,1.0,1.0,,,
130,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,6.864376926464113,,,1.0,,1.0,1.0,,
131,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,6.910379746835443,1.0,1.0,,1.0,1.0,1.0,,
132,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,7.266666666666667,1.0,,,1.0,1.0,1.0,,
133,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,6.255633802816901,,,,,1.0,1.0,,
134,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,7.16287192755498,,,1.0,1.0,1.0,,,
135,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,6.88189448441247,1.0,,,1.0,1.0,,,
136,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,6.9859619140625,,,1.0,1.0,1.0,,1.0,
137,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,6.974884335756775,1.0,1.0,1.0,,,,,
138,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,6.748575336220652,1.0,,1.0,1.0,1.0,,,
139,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,7.08377877168103,1.0,,1.0,,,1.0,,
140,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,6.612984218077475,,,,1.0,1.0,,,
141,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,6.647853185595568,,,,1.0,1.0,,,
142,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,6.230875258442453,1.0,,1.0,,1.0,1.0,,
143,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,6.885530546623794,1.0,,,1.0,1.0,,,
144,"Psychological, Seinen, Sports",TV,25,8.41,83056,7.169008875739645,1.0,,,1.0,,,,
145,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,7.267176900330492,1.0,1.0,,,1.0,,,
146,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,7.089318213635727,1.0,1.0,1.0,1.0,1.0,1.0,,
147,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,6.89028439439873,1.0,,1.0,1.0,,1.0,,
148,"Drama, Shounen, Sports",TV,26,8.4,29528,6.849659863945578,1.0,,,1.0,1.0,,,
149,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,7.10381861575179,1.0,,1.0,1.0,,1.0,,
150,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,6.272017837235229,1.0,1.0,1.0,,,,,
151,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,7.232864411852739,1.0,1.0,,,1.0,,,
152,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,6.891089108910891,1.0,1.0,,,1.0,,,
153,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,7.163258436421779,1.0,1.0,,,1.0,,,
154,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796,7.278666813817459,1.0,1.0,1.0,1.0,1.0,,,
155,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,7.136767976278725,1.0,1.0,1.0,,,1.0,,
156,"Comedy, Shounen, Sports",Special,1,8.39,47840,6.783127735773975,,,,1.0,1.0,,,
157,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051,6.708553016988869,1.0,,1.0,1.0,1.0,,,
158,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271,7.005874947545111,,1.0,,,1.0,,,
159,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798,6.099038461538462,,,,1.0,1.0,1.0,,
160,"Action, Mystery, Supernatural",TV,24,8.38,556431,7.099850730355048,,,1.0,1.0,,1.0,,
161,"Comedy, Josei, Music, Romance",TV,11,8.38,67697,6.953094462540717,,1.0,,,1.0,,,1.0
162,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044,7.357293868921776,1.0,1.0,1.0,,,,,
163,"Music, Sci-Fi",Music,1,8.38,71136,6.635187580853816,,,1.0,,1.0,,,
164,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061,6.7115966829011455,,1.0,1.0,,1.0,,,
165,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213,6.363981762917933,1.0,,1.0,1.0,1.0,,,
166,"Drama, Josei, Romance",TV,12,8.37,61493,7.057506887052342,1.0,1.0,,,,,,1.0
167,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128,6.598729486500794,,1.0,1.0,1.0,1.0,,,
168,"Fantasy, Historical",Movie,1,8.37,45547,6.881970260223048,1.0,,1.0,,,,,
169,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103,6.929514764801899,,,,1.0,1.0,,,
170,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895,6.153498871331829,1.0,,1.0,,1.0,,,
171,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932,7.07808564231738,1.0,1.0,1.0,,1.0,,,
172,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002,6.7756049055353,,1.0,,1.0,1.0,,,
173,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032,7.003924366749911,,1.0,,,1.0,,,
174,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820,7.057763211798443,1.0,1.0,1.0,,1.0,,,
175,"Comedy, Drama, Sports",OVA,1,8.36,12282,6.414876033057851,1.0,,,1.0,1.0,,,
176,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532,6.536405529953917,,,1.0,1.0,1.0,,,
177,"Comedy, School, Shounen",TV,77,8.36,101027,7.0162136385312355,,1.0,,,1.0,,,
178,"Comedy, Romance, Shounen",TV,25,8.35,246899,7.0385777364629325,,1.0,,,1.0,,,
179,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914,6.938949938949939,,1.0,,,1.0,,,
180,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741,7.133584905660378,1.0,1.0,,,,,,
181,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815,6.791839557399723,,1.0,1.0,,,,,
182,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002,6.7514662756598245,1.0,,,1.0,1.0,,,
183,"Drama, Mystery, Psychological",Movie,1,8.35,53590,7.029567854435178,1.0,,,,,1.0,,
184,"Comedy, Romance, Slice of Life",Special,1,8.34,31856,6.6875,,1.0,,,1.0,,,
185,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036,6.78703186137507,1.0,,1.0,1.0,,1.0,,
186,"Comedy, Music, Slice of Life",Movie,1,8.34,115252,6.7088082901554404,,1.0,,,1.0,,,
187,"Action, School, Shounen, Sports",Special,1,8.34,22900,6.231329690346084,,1.0,,1.0,1.0,,,
188,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315,6.5311111111111115,1.0,,1.0,1.0,1.0,,,
189,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492,6.973574408901252,1.0,1.0,1.0,1.0,1.0,,,
190,"Sci-Fi, Thriller",Special,1,8.34,38147,6.55798969072165,1.0,,1.0,,,,,
191,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941,6.720773513038383,1.0,,1.0,,1.0,1.0,,
192,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594,6.795204402515723,1.0,,1.0,1.0,1.0,1.0,,
193,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914,7.036669213139802,1.0,,,,,1.0,,
194,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384,7.056048258229466,1.0,,1.0,1.0,1.0,1.0,,
195,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996,7.2101449275362315,1.0,,,,,1.0,,
196,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029,6.508191240387831,,,,1.0,1.0,,,
197,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392,7.199381394242208,,,1.0,1.0,,1.0,,
198,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561,7.0832960143304975,1.0,1.0,,1.0,,1.0,,1.0
199,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229,6.848101265822785,,,,1.0,1.0,1.0,,
200,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662,6.772134805072804,,,1.0,1.0,1.0,,,
201,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382,6.68369351669941,,,1.0,1.0,1.0,,,
202,"Drama, Romance, School",Movie,1,8.32,59652,7.1076487252124645,1.0,1.0,,,,,,
203,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435,6.78933771723814,1.0,1.0,1.0,,1.0,,,
204,"Drama, Fantasy, Romance",TV,26,8.32,224947,7.134945541812812,1.0,1.0,1.0,,,,,
205,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946,6.973538391948434,1.0,,1.0,1.0,,,,
206,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642,7.179775280898877,1.0,,1.0,1.0,1.0,,,
207,"Comedy, Drama",Movie,1,8.32,89424,6.990031330105383,1.0,,,,1.0,,,
208,"Action, Comedy, Sci-Fi",TV,26,8.32,283069,6.980590412566579,,,1.0,1.0,1.0,,,
209,"Mystery, Supernatural",OVA,2,8.32,36353,6.403172504957039,,,1.0,,,1.0,,
210,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Special,1,8.31,14002,5.7094736842105265,1.0,,1.0,1.0,1.0,1.0,,
211,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164,6.329935125115848,1.0,,1.0,,,,,
212,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253,6.209053007742704,1.0,1.0,,,1.0,,,1.0
213,"Comedy, Drama, Romance, School",TV,13,8.31,222994,6.867240319606638,1.0,1.0,,,1.0,,,
214,"Comedy, Romance, School",OVA,1,8.31,35120,6.489164086687307,,1.0,,,1.0,,,
215,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,26,8.3,39596,7.009250693802035,,1.0,1.0,,1.0,,,
216,"Action, Seinen",TV,12,8.3,203233,7.068515665125835,1.0,,,1.0,,,,
217,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,566690,7.211132084158188,1.0,1.0,1.0,,1.0,,,
218,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612,6.81144252572824,,1.0,1.0,,1.0,,,
219,"Comedy, Sci-Fi",Movie,1,8.3,223359,7.140904419321686,,,1.0,,1.0,,,
220,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412,6.9729369163331425,1.0,,1.0,1.0,1.0,1.0,,
221,"Action, Mystery, Police, Shounen",Movie,1,8.29,20602,6.020682523267839,,,,1.0,1.0,1.0,,
